




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4862)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	701	366.63	+	1.91	1.54E-46	9.35E-44
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	1	114.73	-	 < 0.01	1.03E-43	6.04E-41
sensory perception of chemical stimulus (GO:0007606)	543	5	128.19	-	.04	4.53E-43	2.55E-40
cellular component biogenesis (GO:0044085)	2754	1044	650.16	+	1.61	7.27E-43	3.96E-40
protein metabolic process (GO:0019538)	4203	1444	992.23	+	1.46	1.88E-42	9.93E-40
organonitrogen compound metabolic process (GO:1901564)	5246	1715	1238.46	+	1.38	1.12E-41	5.70E-39
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	104.11	-	 < 0.01	1.53E-41	7.57E-39
mRNA metabolic process (GO:0016071)	697	394	164.55	+	2.39	1.60E-41	7.67E-39
detection of chemical stimulus (GO:0009593)	522	6	123.23	-	.05	6.63E-40	3.08E-37
detection of stimulus involved in sensory perception (GO:0050906)	557	10	131.49	-	.08	1.58E-38	7.14E-36
sensory perception of smell (GO:0007608)	468	4	110.48	-	.04	1.26E-37	5.52E-35
ribonucleoprotein complex biogenesis (GO:0022613)	462	293	109.07	+	2.69	1.84E-37	7.86E-35
cellular macromolecule catabolic process (GO:0044265)	925	456	218.37	+	2.09	1.36E-36	5.66E-34
ncRNA metabolic process (GO:0034660)	521	311	123.00	+	2.53	5.07E-36	2.05E-33
protein-containing complex subunit organization (GO:0043933)	1605	670	378.90	+	1.77	6.80E-36	2.69E-33
macromolecule catabolic process (GO:0009057)	1058	497	249.77	+	1.99	7.54E-36	2.91E-33
system process (GO:0003008)	2057	229	485.61	-	.47	2.99E-35	1.13E-32
cellular process (GO:0009987)	15495	4052	3658.01	+	1.11	3.20E-35	1.18E-32
cellular component organization (GO:0016043)	5783	1810	1365.23	+	1.33	5.06E-35	1.82E-32
macromolecule modification (GO:0043412)	3211	1124	758.04	+	1.48	4.13E-34	1.45E-31
intracellular transport (GO:0046907)	1464	617	345.62	+	1.79	8.55E-34	2.94E-31
ncRNA processing (GO:0034470)	436	269	102.93	+	2.61	5.84E-33	1.97E-30
translation (GO:0006412)	387	247	91.36	+	2.70	5.42E-32	1.79E-29
sensory perception (GO:0007600)	979	69	231.12	-	.30	7.83E-32	2.53E-29
nervous system process (GO:0050877)	1416	136	334.28	-	.41	3.71E-31	1.17E-28
peptide biosynthetic process (GO:0043043)	414	254	97.74	+	2.60	6.94E-31	2.15E-28
detection of stimulus (GO:0051606)	721	38	170.21	-	.22	2.46E-30	7.48E-28
chromosome organization (GO:0051276)	1064	474	251.19	+	1.89	4.93E-30	1.47E-27
cellular catabolic process (GO:0044248)	1812	701	427.77	+	1.64	1.09E-29	3.20E-27
ribosome biogenesis (GO:0042254)	329	215	77.67	+	2.77	5.64E-29	1.62E-26
protein localization (GO:0008104)	2063	770	487.03	+	1.58	6.60E-29	1.86E-26
establishment of protein localization (GO:0045184)	1397	573	329.80	+	1.74	7.06E-29	1.96E-26
regulation of cellular metabolic process (GO:0031323)	6138	1854	1449.04	+	1.28	1.26E-28	3.43E-26
cellular response to stress (GO:0033554)	1741	669	411.01	+	1.63	1.56E-27	4.18E-25
regulation of metabolic process (GO:0019222)	6874	2028	1622.79	+	1.25	2.00E-27	5.27E-25
macromolecule localization (GO:0033036)	2496	884	589.25	+	1.50	2.60E-27	6.74E-25
protein transport (GO:0015031)	1300	535	306.90	+	1.74	3.17E-27	8.09E-25
protein modification process (GO:0036211)	2985	1018	704.69	+	1.44	4.98E-27	1.23E-24
cellular protein modification process (GO:0006464)	2985	1018	704.69	+	1.44	4.98E-27	1.25E-24
protein-containing complex assembly (GO:0065003)	1358	551	320.59	+	1.72	7.32E-27	1.78E-24
cellular protein-containing complex assembly (GO:0034622)	867	397	204.68	+	1.94	7.95E-27	1.91E-24
amide biosynthetic process (GO:0043604)	537	285	126.77	+	2.25	1.13E-26	2.66E-24
cellular component assembly (GO:0022607)	2494	879	588.78	+	1.49	1.42E-26	3.30E-24
nitrogen compound transport (GO:0071705)	1708	653	403.22	+	1.62	1.96E-26	4.50E-24
cellular localization (GO:0051641)	2985	1013	704.69	+	1.44	2.53E-26	5.71E-24
peptide metabolic process (GO:0006518)	544	284	128.43	+	2.21	8.17E-26	1.82E-23
regulation of primary metabolic process (GO:0080090)	5925	1777	1398.75	+	1.27	1.05E-25	2.31E-23
cell cycle (GO:0007049)	1316	530	310.68	+	1.71	2.58E-25	5.58E-23
Unclassified (UNCLASSIFIED)	2744	395	647.79	-	.61	4.47E-25	9.42E-23
biological_process (GO:0008150)	17851	4467	4214.21	+	1.06	4.47E-25	9.55E-23
catabolic process (GO:0009056)	2096	757	494.82	+	1.53	5.20E-25	1.08E-22
protein localization to organelle (GO:0033365)	742	348	175.17	+	1.99	5.71E-25	1.17E-22
mRNA processing (GO:0006397)	486	259	114.73	+	2.26	1.28E-24	2.59E-22
regulation of macromolecule metabolic process (GO:0060255)	6340	1872	1496.73	+	1.25	1.45E-24	2.90E-22
rRNA metabolic process (GO:0016072)	272	179	64.21	+	2.79	1.74E-24	3.43E-22
rRNA processing (GO:0006364)	262	175	61.85	+	2.83	2.08E-24	4.05E-22
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1720	1355.08	+	1.27	2.14E-24	4.13E-22
cellular response to DNA damage stimulus (GO:0006974)	793	362	187.21	+	1.93	2.36E-24	4.50E-22
cellular macromolecule localization (GO:0070727)	1480	574	349.39	+	1.64	3.05E-24	5.74E-22
organonitrogen compound biosynthetic process (GO:1901566)	1379	543	325.55	+	1.67	3.72E-24	6.91E-22
posttranscriptional regulation of gene expression (GO:0010608)	581	290	137.16	+	2.11	5.57E-24	1.02E-21
adaptive immune response (GO:0002250)	658	42	155.34	-	.27	7.86E-24	1.43E-21
cellular protein localization (GO:0034613)	1470	567	347.03	+	1.63	1.71E-23	3.08E-21
establishment of localization in cell (GO:0051649)	2335	815	551.24	+	1.48	1.75E-23	3.11E-21
organic substance catabolic process (GO:1901575)	1769	652	417.62	+	1.56	3.81E-23	6.69E-21
intracellular protein transport (GO:0006886)	781	352	184.38	+	1.91	5.22E-23	9.06E-21
heterocycle biosynthetic process (GO:0018130)	1049	436	247.64	+	1.76	7.85E-23	1.35E-20
nucleobase-containing compound biosynthetic process (GO:0034654)	975	408	230.17	+	1.77	7.78E-22	1.32E-19
cellular amide metabolic process (GO:0043603)	820	359	193.58	+	1.85	1.05E-21	1.76E-19
DNA metabolic process (GO:0006259)	777	345	183.43	+	1.88	1.08E-21	1.80E-19
aromatic compound biosynthetic process (GO:0019438)	1060	433	250.24	+	1.73	1.52E-21	2.50E-19
RNA splicing (GO:0008380)	409	220	96.56	+	2.28	1.98E-21	3.23E-19
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1248	944.07	+	1.32	2.17E-21	3.50E-19
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1240	936.75	+	1.32	2.43E-21	3.88E-19
regulation of cellular biosynthetic process (GO:0031326)	4163	1290	982.79	+	1.31	3.04E-21	4.81E-19
regulation of biosynthetic process (GO:0009889)	4226	1306	997.66	+	1.31	3.38E-21	5.28E-19
protein modification by small protein conjugation or removal (GO:0070647)	1035	423	244.34	+	1.73	4.07E-21	6.31E-19
signaling (GO:0023052)	5565	1001	1313.77	-	.76	6.58E-21	1.01E-18
RNA catabolic process (GO:0006401)	248	158	58.55	+	2.70	8.82E-21	1.34E-18
DNA repair (GO:0006281)	531	258	125.36	+	2.06	2.80E-20	4.22E-18
regulation of catabolic process (GO:0009894)	1066	428	251.66	+	1.70	3.06E-20	4.56E-18
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	135	46.03	+	2.93	4.03E-20	5.95E-18
RNA splicing, via transesterification reactions (GO:0000375)	306	177	72.24	+	2.45	7.29E-20	1.07E-17
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	176	71.53	+	2.46	7.88E-20	1.13E-17
mRNA splicing, via spliceosome (GO:0000398)	303	176	71.53	+	2.46	7.88E-20	1.14E-17
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1248	955.87	+	1.31	8.45E-20	1.20E-17
mRNA catabolic process (GO:0006402)	215	142	50.76	+	2.80	1.03E-19	1.45E-17
mitotic cell cycle (GO:0000278)	750	327	177.06	+	1.85	1.18E-19	1.65E-17
protein catabolic process (GO:0030163)	697	309	164.55	+	1.88	2.12E-19	2.94E-17
chromatin organization (GO:0006325)	703	310	165.96	+	1.87	2.94E-19	4.05E-17
organic cyclic compound biosynthetic process (GO:1901362)	1196	462	282.35	+	1.64	3.03E-19	4.13E-17
regulation of translation (GO:0006417)	415	214	97.97	+	2.18	3.06E-19	4.14E-17
regulation of cell cycle (GO:0051726)	1164	452	274.79	+	1.64	3.71E-19	4.98E-17
establishment of protein localization to organelle (GO:0072594)	394	206	93.01	+	2.21	4.77E-19	6.34E-17
modification-dependent macromolecule catabolic process (GO:0043632)	563	263	132.91	+	1.98	6.99E-19	9.21E-17
cell communication (GO:0007154)	5656	1038	1335.25	-	.78	8.89E-19	1.16E-16
cellular protein catabolic process (GO:0044257)	644	289	152.03	+	1.90	1.06E-18	1.37E-16
regulation of gene expression (GO:0010468)	4922	1463	1161.97	+	1.26	1.14E-18	1.46E-16
multicellular organismal process (GO:0032501)	6926	1319	1635.07	-	.81	1.36E-18	1.74E-16
regulation of cellular catabolic process (GO:0031329)	899	368	212.23	+	1.73	1.58E-18	2.00E-16
organic substance transport (GO:0071702)	2079	709	490.80	+	1.44	2.53E-18	3.18E-16
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	275	143.77	+	1.91	3.16E-18	3.93E-16
ubiquitin-dependent protein catabolic process (GO:0006511)	545	254	128.66	+	1.97	3.51E-18	4.34E-16
cell cycle process (GO:0022402)	957	384	225.93	+	1.70	3.59E-18	4.39E-16
modification-dependent protein catabolic process (GO:0019941)	552	256	130.31	+	1.96	3.75E-18	4.56E-16
regulation of cellular amide metabolic process (GO:0034248)	479	232	113.08	+	2.05	4.10E-18	4.95E-16
nucleobase-containing compound catabolic process (GO:0034655)	373	193	88.06	+	2.19	1.67E-17	1.99E-15
mitotic cell cycle process (GO:1903047)	675	293	159.35	+	1.84	1.96E-17	2.33E-15
biological adhesion (GO:0022610)	959	104	226.40	-	.46	2.39E-17	2.81E-15
translational initiation (GO:0006413)	143	105	33.76	+	3.11	3.23E-17	3.78E-15
mitochondrion organization (GO:0007005)	468	224	110.48	+	2.03	3.40E-17	3.95E-15
protein targeting (GO:0006605)	322	173	76.02	+	2.28	4.65E-17	5.37E-15
cell adhesion (GO:0007155)	953	104	224.98	-	.46	5.40E-17	6.19E-15
viral process (GO:0016032)	444	215	104.82	+	2.05	7.36E-17	8.37E-15
RNA biosynthetic process (GO:0032774)	543	246	128.19	+	1.92	1.91E-16	2.15E-14
transcription, DNA-templated (GO:0006351)	530	241	125.12	+	1.93	2.83E-16	3.17E-14
viral gene expression (GO:0019080)	172	114	40.61	+	2.81	2.90E-16	3.23E-14
nucleic acid-templated transcription (GO:0097659)	531	241	125.36	+	1.92	3.00E-16	3.32E-14
regulation of cell cycle process (GO:0010564)	792	323	186.97	+	1.73	3.50E-16	3.84E-14
protein modification by small protein conjugation (GO:0032446)	822	331	194.06	+	1.71	7.22E-16	7.87E-14
signal transduction (GO:0007165)	5227	970	1233.97	-	.79	8.08E-16	8.74E-14
ribonucleoprotein complex subunit organization (GO:0071826)	196	122	46.27	+	2.64	9.66E-16	1.04E-13
humoral immune response (GO:0006959)	386	22	91.13	-	.24	1.01E-15	1.07E-13
cytoplasmic translation (GO:0002181)	122	92	28.80	+	3.19	1.14E-15	1.21E-13
establishment of protein localization to membrane (GO:0090150)	313	165	73.89	+	2.23	1.21E-15	1.27E-13
positive regulation of cellular metabolic process (GO:0031325)	3314	1019	782.36	+	1.30	1.92E-15	2.01E-13
defense response (GO:0006952)	1426	194	336.65	-	.58	2.66E-15	2.77E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	967	737.27	+	1.31	2.94E-15	3.04E-13
regulation of RNA metabolic process (GO:0051252)	3782	1138	892.84	+	1.27	3.72E-15	3.82E-13
cellular nitrogen compound catabolic process (GO:0044270)	423	200	99.86	+	2.00	4.89E-15	4.99E-13
heterocycle catabolic process (GO:0046700)	417	198	98.44	+	2.01	4.94E-15	5.00E-13
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	89	28.33	+	3.14	5.51E-15	5.55E-13
ribonucleoprotein complex assembly (GO:0022618)	189	117	44.62	+	2.62	5.80E-15	5.80E-13
aromatic compound catabolic process (GO:0019439)	438	204	103.40	+	1.97	8.32E-15	8.27E-13
viral transcription (GO:0019083)	116	87	27.38	+	3.18	9.14E-15	9.03E-13
regulation of mitotic cell cycle (GO:0007346)	588	252	138.81	+	1.82	1.03E-14	1.01E-12
mitochondrial gene expression (GO:0140053)	142	97	33.52	+	2.89	1.47E-14	1.44E-12
regulation of mRNA metabolic process (GO:1903311)	376	182	88.76	+	2.05	1.77E-14	1.72E-12
defense response to bacterium (GO:0042742)	350	20	82.63	-	.24	2.78E-14	2.68E-12
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1062	831.46	+	1.28	3.36E-14	3.22E-12
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	85	27.38	+	3.10	3.47E-14	3.31E-12
positive regulation of metabolic process (GO:0009893)	3820	1139	901.81	+	1.26	3.49E-14	3.31E-12
protein localization to endoplasmic reticulum (GO:0070972)	143	96	33.76	+	2.84	3.58E-14	3.37E-12
proteasomal protein catabolic process (GO:0010498)	361	175	85.22	+	2.05	4.88E-14	4.56E-12
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	167	79.79	+	2.09	5.09E-14	4.74E-12
protein targeting to ER (GO:0045047)	112	83	26.44	+	3.14	5.49E-14	5.07E-12
regulation of cell cycle phase transition (GO:1901987)	522	228	123.23	+	1.85	5.58E-14	5.12E-12
regulation of mitotic cell cycle phase transition (GO:1901990)	434	199	102.46	+	1.94	6.22E-14	5.68E-12
tRNA metabolic process (GO:0006399)	190	113	44.85	+	2.52	9.91E-14	9.01E-12
regulation of protein metabolic process (GO:0051246)	2665	832	629.14	+	1.32	1.14E-13	1.03E-11
organic cyclic compound catabolic process (GO:1901361)	466	208	110.01	+	1.89	1.19E-13	1.07E-11
regulation of cellular protein metabolic process (GO:0032268)	2501	785	590.43	+	1.33	2.64E-13	2.36E-11
cotranslational protein targeting to membrane (GO:0006613)	101	76	23.84	+	3.19	3.01E-13	2.67E-11
protein ubiquitination (GO:0016567)	746	293	176.11	+	1.66	4.00E-13	3.53E-11
peptidyl-lysine modification (GO:0018205)	305	152	72.00	+	2.11	4.39E-13	3.85E-11
protein targeting to membrane (GO:0006612)	182	108	42.97	+	2.51	4.90E-13	4.28E-11
negative regulation of metabolic process (GO:0009892)	3095	939	730.66	+	1.29	5.45E-13	4.73E-11
keratinization (GO:0031424)	227	8	53.59	-	.15	6.81E-13	5.85E-11
immune response (GO:0006955)	2075	332	489.86	-	.68	6.81E-13	5.88E-11
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	73	22.66	+	3.22	7.38E-13	6.31E-11
translational elongation (GO:0006414)	127	85	29.98	+	2.84	1.65E-12	1.40E-10
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	148	71.06	+	2.08	1.81E-12	1.53E-10
negative regulation of macromolecule metabolic process (GO:0010605)	2880	877	679.90	+	1.29	2.19E-12	1.84E-10
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	12	60.91	-	.20	2.37E-12	1.98E-10
peptidyl-amino acid modification (GO:0018193)	886	329	209.16	+	1.57	3.68E-12	3.06E-10
protein-DNA complex subunit organization (GO:0071824)	296	145	69.88	+	2.08	4.14E-12	3.43E-10
organonitrogen compound catabolic process (GO:1901565)	1091	388	257.56	+	1.51	4.84E-12	3.98E-10
complement activation (GO:0006956)	177	4	41.79	-	.10	6.08E-12	4.98E-10
nuclear transport (GO:0051169)	264	133	62.32	+	2.13	7.32E-12	5.96E-10
cell division (GO:0051301)	498	210	117.57	+	1.79	7.78E-12	6.31E-10
organelle assembly (GO:0070925)	796	300	187.92	+	1.60	8.80E-12	7.10E-10
negative regulation of cell cycle (GO:0045786)	454	195	107.18	+	1.82	1.17E-11	9.39E-10
protein-containing complex disassembly (GO:0032984)	228	119	53.83	+	2.21	1.96E-11	1.56E-09
nucleocytoplasmic transport (GO:0006913)	261	130	61.62	+	2.11	2.14E-11	1.70E-09
mitochondrial translation (GO:0032543)	112	75	26.44	+	2.84	2.95E-11	2.33E-09
transcription by RNA polymerase II (GO:0006366)	382	170	90.18	+	1.89	3.29E-11	2.59E-09
response to bacterium (GO:0009617)	721	86	170.21	-	.51	4.40E-11	3.44E-09
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	4	38.95	-	.10	4.55E-11	3.54E-09
cell-cell adhesion (GO:0098609)	515	52	121.58	-	.43	6.12E-11	4.74E-09
negative regulation of cell cycle process (GO:0010948)	368	164	86.88	+	1.89	6.62E-11	5.11E-09
negative regulation of gene expression (GO:0010629)	999	354	235.84	+	1.50	6.68E-11	5.12E-09
proteolysis (GO:0006508)	1306	440	308.32	+	1.43	7.36E-11	5.62E-09
nuclear export (GO:0051168)	166	94	39.19	+	2.40	9.62E-11	7.31E-09
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	613	458.22	+	1.34	1.04E-10	7.86E-09
complement activation, classical pathway (GO:0006958)	161	4	38.01	-	.11	1.04E-10	7.86E-09
regulation of cellular response to stress (GO:0080135)	692	263	163.37	+	1.61	1.10E-10	8.24E-09
negative regulation of cellular metabolic process (GO:0031324)	2613	790	616.87	+	1.28	1.30E-10	9.70E-09
DNA replication (GO:0006260)	273	131	64.45	+	2.03	1.60E-10	1.19E-08
macromolecule methylation (GO:0043414)	257	125	60.67	+	2.06	1.84E-10	1.36E-08
localization within membrane (GO:0051668)	615	238	145.19	+	1.64	2.51E-10	1.84E-08
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	5	39.42	-	.13	2.64E-10	1.93E-08
RNA localization (GO:0006403)	212	109	50.05	+	2.18	2.72E-10	1.98E-08
protein modification by small protein removal (GO:0070646)	295	137	69.64	+	1.97	2.91E-10	2.11E-08
regulation of RNA stability (GO:0043487)	253	123	59.73	+	2.06	3.08E-10	2.22E-08
defense response to other organism (GO:0098542)	1038	147	245.05	-	.60	3.67E-10	2.64E-08
negative regulation of mitotic cell cycle (GO:0045930)	294	136	69.41	+	1.96	4.03E-10	2.87E-08
negative regulation of cell cycle phase transition (GO:1901988)	294	136	69.41	+	1.96	4.03E-10	2.88E-08
inflammatory response (GO:0006954)	498	52	117.57	-	.44	4.23E-10	3.00E-08
regulation of mRNA catabolic process (GO:0061013)	252	122	59.49	+	2.05	4.30E-10	3.03E-08
histone modification (GO:0016570)	363	158	85.70	+	1.84	5.90E-10	4.14E-08
RNA 3'-end processing (GO:0031123)	142	82	33.52	+	2.45	6.60E-10	4.62E-08
tRNA processing (GO:0008033)	134	79	31.63	+	2.50	6.91E-10	4.82E-08
regulation of mRNA stability (GO:0043488)	241	117	56.89	+	2.06	7.14E-10	4.93E-08
covalent chromatin modification (GO:0016569)	367	159	86.64	+	1.84	7.13E-10	4.94E-08
DNA conformation change (GO:0071103)	312	141	73.66	+	1.91	7.56E-10	5.19E-08
protein localization to membrane (GO:0072657)	542	213	127.95	+	1.66	7.93E-10	5.43E-08
methylation (GO:0032259)	313	141	73.89	+	1.91	8.00E-10	5.45E-08
ribonucleoprotein complex localization (GO:0071166)	127	76	29.98	+	2.53	8.55E-10	5.80E-08
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	740	579.10	+	1.28	9.23E-10	6.24E-08
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	116	56.66	+	2.05	1.01E-09	6.80E-08
RNA modification (GO:0009451)	172	92	40.61	+	2.27	1.25E-09	8.39E-08
protein-DNA complex assembly (GO:0065004)	256	121	60.44	+	2.00	1.29E-09	8.60E-08
ribonucleoprotein complex export from nucleus (GO:0071426)	126	75	29.75	+	2.52	1.30E-09	8.63E-08
mitochondrial translational elongation (GO:0070125)	88	60	20.77	+	2.89	1.43E-09	9.47E-08
regulation of chromosome organization (GO:0033044)	290	132	68.46	+	1.93	1.48E-09	9.72E-08
mitotic nuclear division (GO:0140014)	201	102	47.45	+	2.15	1.55E-09	1.02E-07
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	581	439.81	+	1.32	1.77E-09	1.15E-07
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1000	820.37	+	1.22	2.04E-09	1.33E-07
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	11	49.10	-	.22	2.09E-09	1.35E-07
protein polyubiquitination (GO:0000209)	325	143	76.72	+	1.86	2.10E-09	1.36E-07
regulation of transcription, DNA-templated (GO:0006355)	3474	999	820.13	+	1.22	2.31E-09	1.48E-07
regulation of RNA biosynthetic process (GO:2001141)	3480	1000	821.55	+	1.22	2.67E-09	1.71E-07
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	13	52.41	-	.25	2.79E-09	1.77E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	13	52.41	-	.25	2.79E-09	1.78E-07
negative regulation of response to external stimulus (GO:0032102)	559	65	131.97	-	.49	3.28E-09	2.07E-07
positive regulation of cellular biosynthetic process (GO:0031328)	1969	606	464.84	+	1.30	3.55E-09	2.24E-07
regulation of signal transduction by p53 class mediator (GO:1901796)	201	101	47.45	+	2.13	3.58E-09	2.25E-07
ncRNA transcription (GO:0098781)	94	61	22.19	+	2.75	4.05E-09	2.53E-07
protein deubiquitination (GO:0016579)	278	126	65.63	+	1.92	4.60E-09	2.86E-07
regulation of ion transport (GO:0043269)	703	91	165.96	-	.55	4.84E-09	3.00E-07
mitochondrial translational termination (GO:0070126)	89	59	21.01	+	2.81	5.18E-09	3.20E-07
ribosomal large subunit biogenesis (GO:0042273)	72	52	17.00	+	3.06	5.55E-09	3.41E-07
translational termination (GO:0006415)	97	62	22.90	+	2.71	5.60E-09	3.43E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	492	366.15	+	1.34	5.89E-09	3.59E-07
negative regulation of biosynthetic process (GO:0009890)	1643	517	387.87	+	1.33	5.95E-09	3.62E-07
locomotion (GO:0040011)	1345	213	317.52	-	.67	6.57E-09	3.98E-07
protein-containing complex localization (GO:0031503)	259	119	61.14	+	1.95	6.88E-09	4.15E-07
phagocytosis, recognition (GO:0006910)	106	1	25.02	-	.04	7.10E-09	4.27E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	507	380.08	+	1.33	7.33E-09	4.39E-07
RNA export from nucleus (GO:0006405)	124	72	29.27	+	2.46	7.43E-09	4.43E-07
process utilizing autophagic mechanism (GO:0061919)	309	135	72.95	+	1.85	7.82E-09	4.63E-07
autophagy (GO:0006914)	309	135	72.95	+	1.85	7.82E-09	4.64E-07
regulation of DNA metabolic process (GO:0051052)	372	155	87.82	+	1.76	8.69E-09	5.12E-07
regulation of organelle organization (GO:0033043)	1208	397	285.18	+	1.39	8.75E-09	5.14E-07
innate immune response (GO:0045087)	848	119	200.19	-	.59	9.88E-09	5.78E-07
positive regulation of biosynthetic process (GO:0009891)	2004	611	473.10	+	1.29	9.94E-09	5.80E-07
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	487	363.56	+	1.34	1.04E-08	6.06E-07
regulation of inflammatory response (GO:0050727)	518	60	122.29	-	.49	1.12E-08	6.48E-07
cellular protein complex disassembly (GO:0043624)	138	76	32.58	+	2.33	1.34E-08	7.71E-07
establishment of RNA localization (GO:0051236)	191	95	45.09	+	2.11	1.37E-08	7.89E-07
cell surface receptor signaling pathway (GO:0007166)	2495	451	589.01	-	.77	1.48E-08	8.43E-07
positive regulation of catabolic process (GO:0009896)	519	199	122.52	+	1.62	1.47E-08	8.43E-07
response to external stimulus (GO:0009605)	2525	458	596.09	-	.77	1.54E-08	8.77E-07
spindle organization (GO:0007051)	224	106	52.88	+	2.00	1.74E-08	9.88E-07
